,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
629,29300037416,29300-374,29300-374-16,349514,0e8484a8-04a6-4be3-8c5c-1883b0490d53
630,00363093110,0363-0931,0363-0931-10,636522,0ea23f92-eda7-49da-bc62-3085dbb4dc0d
633,70188000601,70188-006,70188-006-01,1747492,0ea46890-45c3-4732-bc47-227f7c67daf1
634,00574010601,0574-0106,0574-0106-01,197411,0ee2da00-faf8-4c51-a696-9462fa4f6050
636,72622000101,72622-001,72622-001-01,240725,0f13770a-774b-49ad-8417-02928371682a
637,68788716201,68788-7162,68788-7162-1,402131,0f24ce78-525a-4bb1-a23d-03f152558575
642,53002339101,53002-3391,53002-3391-1,856834,0f4a2a75-0d9e-4c36-9b0a-2962c4114a27
644,63629223701,63629-2237,63629-2237-1,314155,0f5e8511-f238-4b71-9454-4fa94f6d6f13
645,71205060330,71205-603,71205-603-30,854868,0f5eb1b4-ad4b-4782-8d3d-cd33f9c5be7d
648,64380021201,64380-212,64380-212-01,197942,0f5fb0a4-feb9-4b86-9a93-b2c84cfc082f
651,64380021301,64380-213,64380-213-01,197941,0f5fb0a4-feb9-4b86-9a93-b2c84cfc082f
653,00023040305,0023-0403,0023-0403-05,1188426,0f6a4b4b-cde6-4518-84b5-ce997f1154a7
673,68788734201,68788-7342,68788-7342-1,197311,0f6fa658-b3ae-4162-bdfe-8c3507e334fd
682,42291085190,42291-851,42291-851-90,1048336,0f72ec4b-5fd4-5379-c0ab-b008c0d8518d
683,61919049105,61919-491,61919-491-05,309307,0fa41584-2f85-4ed9-9042-a713cd7ecc59
686,55910065896,55910-658,55910-658-96,1046593,0facd95d-0faa-43e0-a0ea-6f253d2cf18a
687,67877055230,67877-552,67877-552-30,1607796,0fb210b3-6a3d-4313-83ce-52012e384f9b
689,67877055330,67877-553,67877-553-30,1607784,0fb210b3-6a3d-4313-83ce-52012e384f9b
691,67877055430,67877-554,67877-554-30,1607792,0fb210b3-6a3d-4313-83ce-52012e384f9b
693,43498015115,43498-151,43498-151-15,245593,0fb4d584-36e8-4db7-b72e-04608580dacd
694,47682001825,47682-018,47682-018-25,359751,0fc4cb11-8ff9-4eff-9588-c73eef4e0137
696,76348040201,76348-402,76348-402-01,998483,0fdc69e0-bb02-5de4-e054-00144ff8d46c
698,68001035159,68001-351,68001-351-59,1731582,0fefa488-3183-41fb-850e-42ec4dc5646e
700,68001035235,68001-352,68001-352-35,1731590,0fefa488-3183-41fb-850e-42ec4dc5646e
702,68001035322,68001-353,68001-353-22,238212,0fefa488-3183-41fb-850e-42ec4dc5646e
704,43547050310,43547-503,43547-503-10,1807915,1016cad7-2198-483c-893b-e25fd397a226
706,43547050409,43547-504,43547-504-09,1807888,1016cad7-2198-483c-893b-e25fd397a226
708,60846238303,60846-2383,60846-2383-3,153353,101d7dd3-3970-4025-b6ca-79d28020f99d
709,60846238404,60846-2384,60846-2384-4,213167,101d7dd3-3970-4025-b6ca-79d28020f99d
710,63459060106,63459-601,63459-601-06,1992547,101fc347-d0ad-4aee-8b06-9feb187fd741
712,68987000730,68987-007,68987-007-30,238910,103da78b-5de9-4fb4-9451-fd0269d296a5
