ndc11,ndc9,unit_price,year,generic_brand
70000036102,700000361,0.26148,2022,1
70000036103,700000361,0.26148,2022,1
70000036104,700000361,0.26148,2022,1
70000036105,700000361,0.26148,2022,1
46122044062,461220440,0.03031,2022,1
46122044078,461220440,0.03031,2022,1
46122042762,461220427,0.03031,2022,1
70000058501,700000585,0.03031,2022,1
70000013601,700000136,0.03549,2022,1
70000013602,700000136,0.03549,2022,1
70000013603,700000136,0.03549,2022,1
70000016001,700000160,0.01733,2022,1
70000016002,700000160,0.01733,2022,1
24385053126,243850531,0.0442,2022,1
70000011001,700000110,0.81826,2022,1
70000050401,700000504,0.76388,2022,1
70000050402,700000504,0.76388,2022,1
70000050403,700000504,0.76388,2022,1
52544023954,525440239,0.5663,2022,1
70000016201,700000162,0.5663,2022,1
70000016202,700000162,0.5663,2022,1
70000004201,700000042,0.61584,2022,1
51660072415,516600724,0.5663,2022,1
51660072469,516600724,0.5663,2022,1
49483069250,494830692,0.06637,2022,1
69230030401,692300304,0.06637,2022,1
69230030405,692300304,0.06637,2022,1
69230030430,692300304,0.06637,2022,1
49483068201,494830682,0.04915,2022,1
70000058601,700000586,0.17001,2022,1
46122016752,461220167,0.5663,2022,1
46122038322,461220383,0.5663,2022,1
70000051801,700000518,0.51138,2022,1
70000051802,700000518,0.51138,2022,1
113200760,1132007,0.76388,2022,1
49483024201,494830242,0.01733,2022,1
49483024210,494830242,0.01733,2022,1
378013701,3780137,0.04787,2022,1
378013710,3780137,0.04787,2022,1
591554301,5915543,0.04787,2022,1
591554310,5915543,0.04787,2022,1
603211521,6032115,0.04787,2022,1
603211532,6032115,0.04787,2022,1
904704161,9047041,0.04787,2022,1
16714004107,167140041,0.04787,2022,1
16714004110,167140041,0.04787,2022,1
16714004112,167140041,0.04787,2022,1
16714057601,167140576,0.04787,2022,1
16714057602,167140576,0.04787,2022,1
16714057603,167140576,0.04787,2022,1
16714057604,167140576,0.04787,2022,1
16729013401,167290134,0.04787,2022,1
16729013416,167290134,0.04787,2022,1
23155069301,231550693,0.04787,2022,1
23155069310,231550693,0.04787,2022,1
29300034901,293000349,0.04787,2022,1
29300034905,293000349,0.04787,2022,1
50268006311,502680063,0.04787,2022,1
50268006315,502680063,0.04787,2022,1
51079020501,510790205,0.04787,2022,1
51079020520,510790205,0.04787,2022,1
53489015601,534890156,0.04787,2022,1
53489015605,534890156,0.04787,2022,1
53489015610,534890156,0.04787,2022,1
55111072901,551110729,0.04787,2022,1
55111072910,551110729,0.04787,2022,1
60687067701,606870677,0.04787,2022,1
60687067711,606870677,0.04787,2022,1
62584098801,625840988,0.04787,2022,1
62584098811,625840988,0.04787,2022,1
63304053901,633040539,0.04787,2022,1
63304053910,633040539,0.04787,2022,1
63739041010,637390410,0.04787,2022,1
70710120900,707101209,0.04787,2022,1
70710120901,707101209,0.04787,2022,1
378018101,3780181,0.07486,2022,1
378018105,3780181,0.07486,2022,1
591554401,5915544,0.07486,2022,1
591554405,5915544,0.07486,2022,1
603211621,6032116,0.07486,2022,1
603211628,6032116,0.07486,2022,1
603211632,6032116,0.07486,2022,1
904657261,9046572,0.07486,2022,1
16714004210,167140042,0.07486,2022,1
16714004211,167140042,0.07486,2022,1
16714057701,167140577,0.07486,2022,1
16714057702,167140577,0.07486,2022,1
16729013501,167290135,0.07486,2022,1
16729013516,167290135,0.07486,2022,1
23155069401,231550694,0.07486,2022,1
23155069405,231550694,0.07486,2022,1
29300035001,293000350,0.07486,2022,1
29300035005,293000350,0.07486,2022,1
50268006411,502680064,0.07486,2022,1
50268006415,502680064,0.07486,2022,1
51079020601,510790206,0.07486,2022,1
51079020620,510790206,0.07486,2022,1
53489015701,534890157,0.07486,2022,1
53489015705,534890157,0.07486,2022,1
53489015710,534890157,0.07486,2022,1
55111073001,551110730,0.07486,2022,1
55111073005,551110730,0.07486,2022,1
62584071301,625840713,0.07486,2022,1
62584071311,625840713,0.07486,2022,1
63304054001,633040540,0.07486,2022,1
63304054005,633040540,0.07486,2022,1
63739079610,637390796,0.07486,2022,1
70710121001,707101210,0.07486,2022,1
70710121005,707101210,0.07486,2022,1
536001583,5360015,0.01076,2022,1
93526119,935261,21.98333,2022,1
93526129,935261,21.98333,2022,1
378524632,3785246,21.98333,2022,1
378524685,3785246,21.98333,2022,1
27241004221,272410042,21.98333,2022,1
27241004268,272410042,21.98333,2022,1
45802010365,458020103,5.17033,2022,1
45802015065,458020150,5.30168,2022,1
45802008765,458020087,5.22295,2022,1
45802021172,458020211,2.54843,2022,1
45802016972,458020169,2.44496,2022,1
45963047903,459630479,4.66883,2022,1
49884081911,498840819,4.66883,2022,1
